Region,Year,Units,Water_Categ,Ammoniacal nitrogen,E.coli,Nitrate-nitrite nitrogen
Nelson,2010,g/m3,River Quality,NA,NA,4.45
Nelson,2011,cfu/100ml,River Quality,NA,4870.5,NA
Nelson,2011,g/m3,River Quality,0.16,NA,4.79
Nelson,2012,cfu/100ml,River Quality,NA,4327,NA
Nelson,2012,g/m3,River Quality,0.15,NA,5.03
Nelson,2013,cfu/100ml,River Quality,NA,4170.5,NA
Nelson,2013,g/m3,River Quality,0.14,NA,5.29
Nelson,2014,cfu/100ml,River Quality,NA,2698.5,NA
Nelson,2014,g/m3,River Quality,0.11,NA,4.26
Nelson,2015,cfu/100ml,River Quality,NA,2533,NA
Nelson,2015,g/m3,River Quality,0.11,NA,4.47
Nelson,2016,cfu/100ml,River Quality,NA,2717.5,NA
Nelson,2016,g/m3,River Quality,0.1,NA,5.03
Nelson,2017,cfu/100ml,River Quality,NA,2978,NA
Nelson,2017,g/m3,River Quality,0.12,NA,5.48
Nelson,2018,cfu/100ml,River Quality,NA,3078.5,NA
Nelson,2018,g/m3,River Quality,0.11,NA,5.31
Nelson,2019,cfu/100ml,River Quality,NA,3291.5,NA
Nelson,2019,g/m3,River Quality,0.11,NA,5.48
Northland,2002,g/m3,River Quality,NA,NA,0.86
Northland,2003,g/m3,River Quality,NA,NA,0.9
Northland,2004,cfu/100ml,Groundwater Quality,NA,428,NA
Northland,2004,g/m3,Groundwater Quality,NA,NA,183.81
Northland,2004,g/m3,River Quality,0.08,NA,0.9
Northland,2005,cfu/100ml,Groundwater Quality,NA,1538,NA
Northland,2005,g/m3,Groundwater Quality,NA,NA,218.85
Northland,2005,g/m3,River Quality,0.16,NA,1.38
Northland,2006,cfu/100ml,Groundwater Quality,NA,1483,NA
Northland,2006,g/m3,Groundwater Quality,NA,NA,239.77
Northland,2006,g/m3,River Quality,0.27,NA,2.48
Northland,2007,cfu/100ml,Groundwater Quality,NA,6091,NA
Northland,2007,g/m3,Groundwater Quality,NA,NA,253.04
Northland,2007,g/m3,River Quality,0.27,NA,2.42
Northland,2008,cfu/100ml,Groundwater Quality,NA,3360,NA
Northland,2008,cfu/100ml,River Quality,NA,1379.5,NA
Northland,2008,g/m3,Groundwater Quality,NA,NA,277.56
Northland,2008,g/m3,River Quality,0.26,NA,2.8
Northland,2009,cfu/100ml,Groundwater Quality,NA,1013,NA
Northland,2009,cfu/100ml,River Quality,NA,3096.5,NA
Northland,2009,g/m3,Groundwater Quality,NA,NA,300.65
Northland,2009,g/m3,River Quality,0.26,NA,2.97
Northland,2010,cfu/100ml,Groundwater Quality,NA,626,NA
Northland,2010,cfu/100ml,River Quality,NA,3607,NA
Northland,2010,g/m3,Groundwater Quality,NA,NA,309.56
Northland,2010,g/m3,River Quality,0.22,NA,3.61
Northland,2011,cfu/100ml,Groundwater Quality,NA,7068,NA
Northland,2011,cfu/100ml,River Quality,NA,4066,NA
Northland,2011,g/m3,Groundwater Quality,NA,NA,311.64
Northland,2011,g/m3,River Quality,0.24,NA,3.69
Northland,2012,cfu/100ml,Groundwater Quality,NA,3223,NA
Northland,2012,cfu/100ml,River Quality,NA,3965.5,NA
Northland,2012,g/m3,Groundwater Quality,NA,NA,312.27
Northland,2012,g/m3,River Quality,0.22,NA,3.58
Northland,2013,cfu/100ml,Groundwater Quality,NA,2772,NA
Northland,2013,cfu/100ml,River Quality,NA,4207.95,NA
Northland,2013,g/m3,Groundwater Quality,NA,NA,301.99
Northland,2013,g/m3,River Quality,0.26,NA,3.81
Northland,2014,cfu/100ml,Groundwater Quality,NA,3156,NA
Northland,2014,cfu/100ml,River Quality,NA,5401.05,NA
Northland,2014,g/m3,Groundwater Quality,NA,NA,289.55
Northland,2014,g/m3,River Quality,0.29,NA,4.21
Northland,2015,cfu/100ml,Groundwater Quality,NA,3190,NA
Northland,2015,cfu/100ml,River Quality,NA,6969.5,NA
Northland,2015,g/m3,Groundwater Quality,NA,NA,277.48
Northland,2015,g/m3,River Quality,0.35,NA,4.63
Northland,2016,cfu/100ml,Groundwater Quality,NA,3821,NA
Northland,2016,cfu/100ml,River Quality,NA,8774.5,NA
Northland,2016,g/m3,Groundwater Quality,NA,NA,298.31
Northland,2016,g/m3,River Quality,0.43,NA,8.08
Northland,2017,cfu/100ml,Groundwater Quality,NA,1347,NA
Northland,2017,cfu/100ml,River Quality,NA,8871.4,NA
Northland,2017,g/m3,Groundwater Quality,NA,NA,277.73
Northland,2017,g/m3,River Quality,0.43,NA,8.48
Northland,2018,cfu/100ml,Groundwater Quality,NA,20456.4,NA
Northland,2018,cfu/100ml,River Quality,NA,9276.08,NA
Northland,2018,g/m3,Groundwater Quality,NA,NA,270.59
Northland,2018,g/m3,River Quality,0.41,NA,8.36
Northland,2019,cfu/100ml,Groundwater Quality,NA,25353,NA
Northland,2019,cfu/100ml,River Quality,NA,8897.65,NA
Northland,2019,g/m3,Groundwater Quality,NA,NA,265.77
Northland,2019,g/m3,River Quality,0.41,NA,7.88
Otago,2002,g/m3,River Quality,0.05,NA,1.42
Otago,2003,g/m3,River Quality,1.03,NA,2.03
Otago,2004,g/m3,Groundwater Quality,NA,NA,20.3
Otago,2004,g/m3,River Quality,0.8,NA,1.82
Otago,2005,g/m3,Groundwater Quality,NA,NA,13.92
Otago,2005,g/m3,River Quality,0.78,NA,1.78
Otago,2006,g/m3,Groundwater Quality,NA,NA,16.9
Otago,2006,g/m3,River Quality,0.8,NA,5.28
Otago,2007,cfu/100ml,River Quality,NA,2458.5,NA
Otago,2007,g/m3,Groundwater Quality,NA,NA,10.77
Otago,2007,g/m3,River Quality,0.59,NA,3.81
Otago,2008,cfu/100ml,River Quality,NA,2912.5,NA
Otago,2008,g/m3,Groundwater Quality,NA,NA,0.46
Otago,2008,g/m3,River Quality,0.63,NA,5
Otago,2009,cfu/100ml,River Quality,NA,2483,NA
Otago,2009,g/m3,River Quality,0.57,NA,4.93
Otago,2010,cfu/100ml,Groundwater Quality,NA,5,NA
Otago,2010,cfu/100ml,River Quality,NA,2692.75,NA
Otago,2010,g/m3,Groundwater Quality,NA,NA,0.12
Otago,2010,g/m3,River Quality,0.54,NA,5.01
Otago,2011,cfu/100ml,Groundwater Quality,NA,6488,NA
Otago,2011,cfu/100ml,River Quality,NA,2910,NA
Otago,2011,g/m3,River Quality,0.59,NA,5.38
Otago,2012,cfu/100ml,Groundwater Quality,NA,111,NA
Otago,2012,cfu/100ml,River Quality,NA,3093.75,NA
Otago,2012,g/m3,River Quality,0.47,NA,5.65
Otago,2013,cfu/100ml,Groundwater Quality,NA,1190,NA
Otago,2013,cfu/100ml,River Quality,NA,3424.5,NA
Otago,2013,g/m3,River Quality,0.4,NA,6.32
Otago,2014,cfu/100ml,Groundwater Quality,NA,104.1,NA
Otago,2014,cfu/100ml,River Quality,NA,4108.3,NA
Otago,2014,g/m3,Groundwater Quality,NA,NA,299.83
Otago,2014,g/m3,River Quality,0.4,NA,6.75
Otago,2015,cfu/100ml,Groundwater Quality,NA,198.1,NA
Otago,2015,cfu/100ml,River Quality,NA,4593.15,NA
Otago,2015,g/m3,Groundwater Quality,NA,NA,311.21
Otago,2015,g/m3,River Quality,0.47,NA,8.07
Otago,2016,cfu/100ml,Groundwater Quality,NA,359.5,NA
Otago,2016,cfu/100ml,River Quality,NA,4803.6,NA
Otago,2016,g/m3,Groundwater Quality,NA,NA,270.55
Otago,2016,g/m3,River Quality,0.48,NA,8.76
Otago,2017,cfu/100ml,Groundwater Quality,NA,375.7,NA
Otago,2017,cfu/100ml,River Quality,NA,5099.55,NA
Otago,2017,g/m3,Groundwater Quality,NA,NA,340.12
Otago,2017,g/m3,River Quality,0.48,NA,9.82
Otago,2018,cfu/100ml,Groundwater Quality,NA,816,NA
Otago,2018,cfu/100ml,River Quality,NA,5324.55,NA
Otago,2018,g/m3,Groundwater Quality,NA,NA,605.68
Otago,2018,g/m3,River Quality,0.51,NA,10.42
Otago,2019,cfu/100ml,Groundwater Quality,NA,294,NA
Otago,2019,cfu/100ml,River Quality,NA,5442.45,NA
Otago,2019,g/m3,Groundwater Quality,NA,NA,573.29
Otago,2019,g/m3,River Quality,0.31,NA,11.96
Southland,2002,g/m3,River Quality,NA,NA,3.28
Southland,2003,g/m3,River Quality,NA,NA,3.42
Southland,2004,cfu/100ml,Groundwater Quality,NA,159,NA
Southland,2004,g/m3,Groundwater Quality,NA,NA,392.21
Southland,2004,g/m3,River Quality,0.71,NA,20.48
Southland,2005,cfu/100ml,Groundwater Quality,NA,2517,NA
Southland,2005,g/m3,Groundwater Quality,NA,NA,451.75
